Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 9001-92-7," ENZYMES, PROTEOLYTIC"," EMULSIFIER OR EMULSIFIER SALT,<br /> ENZYME,<br /> FORMULATION AID,<br /> MALTING OR FERMENTING AID,<br /> PROCESSING AID"
 28551-14-6, EPICHLOROHYDRIN CROSSLINKED WITH AMMONIA, PROCESSING AID
 68398-18-5," (+/-)-2,8-EPITHIO-CIS-P-MENTHANE", FLAVORING AGENT OR ADJUVANT
 1048958-35-5," 2,3-EPOXYDECANAL", FLAVORING AGENT OR ADJUVANT
 134454-31-2," 4,5-EPOXY-(E)-2-DECENAL", FLAVORING AGENT OR ADJUVANT
 58936-30-4," 2,3-EPOXYHEPTANAL", FLAVORING AGENT OR ADJUVANT
 42134-50-9," 2,3-EPOXYOCTANAL", FLAVORING AGENT OR ADJUVANT
 38284-11-6, EPOXYOXOPHORONE, FLAVORING AGENT OR ADJUVANT
 5579-78-2, EPSILON-DECALACTONE, FLAVORING AGENT OR ADJUVANT
 8007-27-0," ERIGERON, OIL (ERIGERON CANADENSIS L.)", FLAVORING AGENT OR ADJUVANT
 4049-38-1, (+/-)-ERIODICTYOL, FLAVORING AGENT OR ADJUVANT
 977032-08-8, ESTERASE-LIPASE FROM MUCOR MIEHEI, ENZYME
 140-67-0, ESTRAGOLE, FLAVORING AGENT OR ADJUVANT
 69382-62-3," ETHANE-1,1-DITHIOL", FLAVORING AGENT OR ADJUVANT
 540-63-6," 1,2-ETHANEDITHIOL", FLAVORING AGENT OR ADJUVANT
 31175-20-9," ETHANESULFONIC ACID, 2-(1-(DIFLUORO-((TRIFLUOROETHENYL)OXY)METHYL)-1,2,2,2-TETRAFLUOROETHOXY)-1,1,2,2-TETRAFLUORO-, POLYMER WITH TETRAFLUOROETHANE",
 75-08-1, ETHANETHIOL, FLAVORING AGENT OR ADJUVANT
 10031-82-0, P-ETHOXYBENZALDEHYDE, FLAVORING AGENT OR ADJUVANT
 68489-14-5, N-[(ETHOXYCARBONYL)METHYL)-P-MENTHANE-3-CARBOXAMIDE, FLAVORING AGENT OR ADJUVANT
 35243-43-7, 2-ETHOXY-3-ETHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 72797-16-1, 2-ETHOXY-3-ISOPROPYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 22094-00-4, 1-ETHOXY-3-METHYL-2-BUTENE, FLAVORING AGENT OR ADJUVANT
 20920-83-6, O-(ETHOXYMETHYL)PHENOL, FLAVORING AGENT OR ADJUVANT
 91-53-2, ETHOXYQUIN, ANTIOXIDANT
 15679-19-3, 2-ETHOXYTHIAZOLE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 631-71-0, ETHYL ABIETATE, FLAVORING AGENT OR ADJUVANT
 141-78-6, ETHYL ACETATE," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 141-97-9, ETHYL ACETOACETATE, FLAVORING AGENT OR ADJUVANT
 6413-10-1, ETHYL ACETOACETATE ETHYLENEGLYCOL KETAL, FLAVORING AGENT OR ADJUVANT
 139564-43-5, (+/-)-ETHYL 3-ACETOXY-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 35234-25-4, ETHYL 5-ACETOXYOCTANOATE, FLAVORING AGENT OR ADJUVANT
 4396-62-7, S-ETHYL 2-ACETYLAMINOETHANETHIOATE, FLAVORING AGENT OR ADJUVANT
 620-80-4, ETHYL ALPHA-ACETYLCINNAMATE, FLAVORING AGENT OR ADJUVANT
 1540-29-0, ETHYL 2-ACETYLHEXANOATE, FLAVORING AGENT OR ADJUVANT
 29214-60-6, ETHYL 2-ACETYLOCTANOATE, FLAVORING AGENT OR ADJUVANT
 620-79-1, ETHYL 2-ACETYL-3-PHENYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 39741-41-8, 1-ETHYL-2-ACETYLPYRROLE, FLAVORING AGENT OR ADJUVANT
 104228-51-5, ETHYL 4-(ACETYLTHIO)BUTYRATE, FLAVORING AGENT OR ADJUVANT
 1321-30-8, ETHYL ACONITATE (MIXED ESTERS), FLAVORING AGENT OR ADJUVANT
 64-17-5, ETHYL ALCOHOL," ANTIMICROBIAL AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> SOLVENT OR VEHICLE"
 75-04-7, ETHYLAMINE, FLAVORING AGENT OR ADJUVANT
 94-30-4, ETHYL P-ANISATE, FLAVORING AGENT OR ADJUVANT
 87-25-2, ETHYL ANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 4748-78-1, 4-ETHYLBENZALDEHYDE, FLAVORING AGENT OR ADJUVANT
 93-89-0, ETHYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 94-02-0, ETHYL BENZOYLACETATE, FLAVORING AGENT OR ADJUVANT
 105-95-3, ETHYL BRASSYLATE, FLAVORING AGENT OR ADJUVANT
 10031-87-5, 2-ETHYLBUTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 97-96-1, 2-ETHYLBUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 105-54-4, ETHYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 88-09-5, 2-ETHYLBUTYRIC ACID, FLAVORING AGENT OR ADJUVANT
 103-36-6, ETHYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 623-70-1, ETHYL CROTONATE, FLAVORING AGENT OR ADJUVANT
 3289-28-9, ETHYL CYCLOHEXANECARBOXYLATE, FLAVORING AGENT OR ADJUVANT
 10094-36-7, ETHYL CYCLOHEXANEPROPIONATE, FLAVORING AGENT OR ADJUVANT
 3025-30-7," ETHYL TRANS-2,CIS-4-DECADIENOATE", FLAVORING AGENT OR ADJUVANT
 110-38-3, ETHYL DECANOATE, FLAVORING AGENT OR ADJUVANT
 78417-28-4," ETHYL 2,4,7-DECATRIENOATE", FLAVORING AGENT OR ADJUVANT
 7367-88-6, ETHYL TRANS-2-DECENOATE, FLAVORING AGENT OR ADJUVANT
 76649-16-6, ETHYL TRANS-4-DECENOATE, FLAVORING AGENT OR ADJUVANT
 39156-54-2," ETHYL 4,5-DIHYDRO-2,5-DIMETHYL-4-OXO-3-FURANCARBOXYLATE", FLAVORING AGENT OR ADJUVANT
 41803-21-8," 2-ETHYL-2,5-DIHYDRO-4-METHYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
 14059-92-8," 4-ETHYL-2,6-DIMETHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
 977188-74-1," 2(4)-ETHYL-4(2),6-DIMETHYLDIHYDRO-1,3,5-DITHIAZINE (MIXTURE OF ISOMERS)", FLAVORING AGENT OR ADJUVANT
 53833-30-0," 2-ETHYL-4,5-DIMETHYLOXAZOLE", FLAVORING AGENT OR ADJUVANT
 13925-07-0," 3-ETHYL-2,6-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 15707-34-3," 5-ETHYL-2,3-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 13246-52-1," ETHYL 2,4-DIOXOHEXANOATE", FLAVORING AGENT OR ADJUVANT
 107-15-3, ETHYLENEDIAMINE, TRACER
 6381-92-6, ETHYLENEDIAMINETETRAACETIC ACID DISODIUM SALT, FLAVORING AGENT OR ADJUVANT
 107-06-2, ETHYLENE DICHLORIDE, FUMIGANT
 627-83-8, ETHYLENE GLYCOL DISTEARATE,
 111-76-2, ETHYLENE GLYCOL MONOBUTYL ETHER, WASHING OR SURFACE REMOVAL AGENT
 110-80-5, ETHYLENE GLYCOL MONOETHYL ETHER," FORMULATION AID,<br /> SOLVENT OR VEHICLE"
 122-99-6, ETHYLENE GLYCOL MONOPHENYL ETHER, FLAVORING AGENT OR ADJUVANT
 75-21-8, ETHYLENE OXIDE--NLFG," ANTIMICROBIAL AGENT,<br /> FUMIGANT"
 9002-90-8, ETHYLENE OXIDE POLYMER, STABILIZER OR THICKENER
 977047-83-8," ETHYLENE OXIDE POLYMER, ALKYL ADDUCT",
 977092-23-1," ETHYLENE OXIDE POLYMER, ALKYL ADDUCT, PHOSPHATE ESTER", WASHING OR SURFACE REMOVAL AGENT
 9003-11-6, ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER," DOUGH STRENGTHENER,<br /> DRYING AGENT,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
 977057-87-6," ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (AVG M W 14,000)"," DOUGH STRENGTHENER,<br /> LEAVENING AGENT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
 977057-63-8," ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (MIN AVG M W 1,900)"," DOUGH STRENGTHENER,<br /> LEAVENING AGENT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
 977057-83-2," ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (AVG M W 3,500-4,125)"," DOUGH STRENGTHENER,<br /> LEAVENING AGENT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
 977057-91-2," ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (AVG M W 9,760 - 13,200)"," DOUGH STRENGTHENER,<br /> LEAVENING AGENT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
 977083-02-5," ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER, ALKYL ADDUCT", WASHING OR SURFACE REMOVAL AGENT
 977083-03-6," ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER, ALKYL ADDUCT, PHOSPHATE ESTER", WASHING OR SURFACE REMOVAL AGENT
 977077-55-6, ETHYL ESTERS OF FATTY ACIDS (EDIBLE),
 38446-21-8, ETHYL N-ETHYLANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 2983-38-2, ETHYL 2-ETHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 2983-37-1, ETHYL 2-ETHYLHEXANOATE, FLAVORING AGENT OR ADJUVANT
 56630-76-3, ETHYL ALPHA-ETHYL-BETA-METHYL-BETA-PHENYLGLYCIDATE, FLAVORING AGENT OR ADJUVANT
 2983-36-0, ETHYL 2-ETHYL-3-PHENYLPROPANOATE, FLAVORING AGENT OR ADJUVANT
 90201-28-8, ETHYL 3-(ETHYLTHIO)BUTYRATE, FLAVORING AGENT OR ADJUVANT
 3208-16-0, 2-ETHYLFURAN, FLAVORING AGENT OR ADJUVANT
 10031-90-0, ETHYL 2-FURANPROPIONATE, FLAVORING AGENT OR ADJUVANT
 6270-56-0, ETHYL FURFURYL ETHER, FLAVORING AGENT OR ADJUVANT
 94278-27-0, ETHYL 3-(FURFURYLTHIO) PROPIONATE, FLAVORING AGENT OR ADJUVANT
 53282-12-5, (E)-ETHYL 3-(2-FURYL)ACRYLATE, FLAVORING AGENT OR ADJUVANT
 2785-89-9, 4-ETHYLGUAIACOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 106-30-9, ETHYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 10031-88-6, 2-ETHYL-2-HEPTENAL, FLAVORING AGENT OR ADJUVANT
 39924-27-1," ETHYL 4-HEPTENOATE, CIS-", FLAVORING AGENT OR ADJUVANT
 7341-17-5, 2-ETHYLHEXANETHIOL, FLAVORING AGENT OR ADJUVANT
 123-66-0, ETHYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 104-76-7, 2-ETHYL-1-HEXANOL, FLAVORING AGENT OR ADJUVANT
 645-62-5, 2-ETHYL-2-HEXENAL, FLAVORING AGENT OR ADJUVANT
 1552-67-6, ETHYL 2-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 2396-83-0, ETHYL 3-HEXENOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 64187-83-3, ETHYL CIS-3-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 54653-25-7, ETHYL 5-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 5444-75-7, 2-ETHYLHEXYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 50448-95-8, 2-ETHYLHEXYL 3-MERCAPTOPROPIONATE, FLAVORING AGENT OR ADJUVANT
 94133-92-3, 1-ETHYLHEXYL TIGLATE, FLAVORING AGENT OR ADJUVANT
 5405-41-4, ETHYL 3-HYDROXYBUTYRATE, FLAVORING AGENT OR ADJUVANT
 21835-01-8, 3-ETHYL-2-HYDROXY-2-CYCLOPENTEN-1-ONE, FLAVORING AGENT OR ADJUVANT
 75587-06-3, ETHYL 5-HYDROXYDECANOATE, FLAVORING AGENT OR ADJUVANT
 110-77-0, ETHYL 2-HYDROXYETHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 2305-25-1, ETHYL 3-HYDROXYHEXANOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 77-70-3, (+/-)-ETHYL 2-HYDROXY-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 27372-03-8, (+/-)-ETHYL 3-HYDROXY-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 42348-12-9, 3-ETHYL-2-HYDROXY-4-METHYLCYCLOPENT-2-EN-1-ONE, FLAVORING AGENT OR ADJUVANT
 53263-58-4, 5-ETHYL-2-HYDROXY-3-METHYLCYCLOPENT-2-EN-1-ONE, FLAVORING AGENT OR ADJUVANT
 27538-10-9, 2-ETHYL-4-HYDROXY-5-METHYL-3(2H)-FURANONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 698-10-2, 5-ETHYL-3-HYDROXY-4-METHYL-2(5H)-FURANONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 24323-38-4, (+/-)-ETHYL 2-HYDROXY-3-METHYLVALERATE, FLAVORING AGENT OR ADJUVANT
 7367-90-0, ETHYL 3-HYDROXYOCTANOATE, FLAVORING AGENT OR ADJUVANT
 75587-05-2, ETHYL 5-HYDROXYOCTANOATE, FLAVORING AGENT OR ADJUVANT
 15399-05-0, ETHYL 2-HYDROXY-3-PHENYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 97-62-1, ETHYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 39711-79-0, N-ETHYL-2-ISOPROPYL-5-METHYLCYCLOHEXANE CARBOXAMIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 542-85-8, ETHYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 108-64-5, ETHYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 97-64-3, ETHYL LACTATE, FLAVORING AGENT OR ADJUVANT
 106-33-2, ETHYL LAURATE, FLAVORING AGENT OR ADJUVANT
 539-88-8, ETHYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 5413-49-0, ETHYL LEVULINATE PROPYLENEGLYCOL KETAL, FLAVORING AGENT OR ADJUVANT
 72845-33-1, ETHYL LINALYL ETHER, FLAVORING AGENT OR ADJUVANT
 4940-11-8, ETHYL MALTOL," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID"
 852997-28-5, ETHYL MALTOL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 156472-94-5, ETHYL 3-MERCAPTOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 888021-82-7, (+/-)-ETHYL 3-MERCAPTO-2-METHYLBUTANOATE, FLAVORING AGENT OR ADJUVANT
 33441-50-8, ETHYL 2-MERCAPTO-2-METHYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 19788-49-9, ETHYL 2-MERCAPTOPROPIONATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 5466-06-8, ETHYL 3-MERCAPTOPROPIONATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 35472-56-1, ETHYL N-METHYLANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 7452-79-1, ETHYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 20333-39-5, ETHYL METHYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 23747-43-5, ETHYL 2-(METHYLDITHIO)PROPIONATE, FLAVORING AGENT OR ADJUVANT
 60523-21-9," ETHYL 2-METHYL-3,4-PENTADIENOATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 39255-32-8, ETHYL 2-METHYLPENTANOATE, FLAVORING AGENT OR ADJUVANT
 5870-68-8, ETHYL 3-METHYLPENTANOATE, FLAVORING AGENT OR ADJUVANT
 25415-67-2, ETHYL 4-METHYLPENTANOATE, FLAVORING AGENT OR ADJUVANT
 1617-23-8, ETHYL 2-METHYL-3-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 53399-81-8, ETHYL 2-METHYL-4-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 13360-64-0, 2-ETHYL-5-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 13925-03-6, 2-ETHYL-6-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 15707-23-0, 3-ETHYL-2-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 104-90-5, 5-ETHYL-2-METHYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 15679-12-6, 2-ETHYL-4-METHYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 19961-52-5, 5-ETHYL-2-METHYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 4455-13-4, ETHYL 2-(METHYLTHIO)ACETATE, FLAVORING AGENT OR ADJUVANT
 233665-96-8, ETHYL 3-(METHYLTHIO)BUTYRATE, FLAVORING AGENT OR ADJUVANT
 22014-48-8, ETHYL 4-(METHYLTHIO) BUTYRATE, FLAVORING AGENT OR ADJUVANT
 136115-66-7, ETHYL 3-(METHYLTHIO)-CIS-2-PROPENOATE, FLAVORING AGENT OR ADJUVANT
 77105-51-2, ETHYL 3-(METHYLTHIO)-2-PROPENOATE, FLAVORING AGENT OR ADJUVANT
 13327-56-5, ETHYL 3-METHYLTHIOPROPIONATE, FLAVORING AGENT OR ADJUVANT
 72987-62-3, 2-ETHYL-3-METHYLTHIOPYRAZINE, FLAVORING AGENT OR ADJUVANT
 136115-65-6, ETHYL 3-(METHYLTHIO)-TRANS-2-PROPENOATE, FLAVORING AGENT OR ADJUVANT
 233665-98-0, ETHYL 5-(METHYLTHIO)VALERATE, FLAVORING AGENT OR ADJUVANT
 74367-97-8, ETHYL METHYL-P-TOLYLGLYCIDATE, FLAVORING AGENT OR ADJUVANT
 977044-47-5, 2-ETHYL-(3 OR 5 OR 6)-MOP(85%) AND 2-METHYL-(3 OR 5 OR 6)-MOP(13%), FLAVORING AGENT OR ADJUVANT
 124-06-1, ETHYL MYRISTATE, FLAVORING AGENT OR ADJUVANT
 109-95-5, ETHYL NITRITE, FLAVORING AGENT OR ADJUVANT
 608514-56-3, N-ETHYL TRANS-2-CIS-6-NONADIENAMIDE, FLAVORING AGENT OR ADJUVANT
 123-29-5, ETHYL NONANOATE, FLAVORING AGENT OR ADJUVANT
 10031-92-2, ETHYL 2-NONYNOATE, FLAVORING AGENT OR ADJUVANT
 111-61-5, ETHYL OCTADECANOATE, FLAVORING AGENT OR ADJUVANT
 69925-33-3," ETHYL CIS-4,7-OCTADIENOATE", FLAVORING AGENT OR ADJUVANT
 58475-04-0, (+/-)-4-ETHYLOCTANAL, FLAVORING AGENT OR ADJUVANT
 106-32-1, ETHYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 16493-80-4, 4-ETHYLOCTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 7367-82-0, ETHYL TRANS-2-OCTENOATE, FLAVORING AGENT OR ADJUVANT
 1117-65-3, ETHYL 3-OCTENOATE, FLAVORING AGENT OR ADJUVANT
 34495-71-1, ETHYL CIS-4-OCTENOATE, FLAVORING AGENT OR ADJUVANT
 111-62-6, ETHYL OLEATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 27043-05-6," 2-ETHYL-3,(5 OR 6)-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 93919-00-7, ETHYL 5-OXODECANOATE, FLAVORING AGENT OR ADJUVANT
 3249-68-1, ETHYL 3-OXOHEXANOATE, FLAVORING AGENT OR ADJUVANT
 628-97-7, ETHYL PALMITATE, FLAVORING AGENT OR ADJUVANT
 1968-40-7, ETHYL 4-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 123-07-9, P-ETHYLPHENOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 101-97-3, ETHYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 10031-93-3, ETHYL 4-PHENYLBUTYRATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 121-39-1, ETHYL 3-PHENYLGLYCIDATE, FLAVORING AGENT OR ADJUVANT
 2021-28-5, ETHYL 3-PHENYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 105-37-3, ETHYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 30453-31-7, ETHYL PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 31499-70-4, ETHYL PROPYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 13925-00-3, 2-ETHYLPYRAZINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 536-78-7, 3-ETHYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 2167-14-8, 1-ETHYL-2-PYRROLECARBOXALDEHYDE, FLAVORING AGENT OR ADJUVANT
 617-35-6, ETHYL PYRUVATE, FLAVORING AGENT OR ADJUVANT
 118-61-6, ETHYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
 2396-84-1, ETHYL SORBATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 625-60-5, ETHYL THIOACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 117013-33-9, (+/-)-3-(ETHYLTHIO)BUTANOL, FLAVORING AGENT OR ADJUVANT
 4500-58-7, 2-ETHYLTHIOPHENOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 5837-78-5, ETHYL TIGLATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 27829-72-7, ETHYL TRANS-2-HEXENOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1617-40-9, ETHYL TRANS-2-METHYL-2-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 18368-91-7," 2-ETHYL-1,3,3-TRIMETHYL-2-NORBORNANOL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 627-90-7, ETHYL UNDECANOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 692-86-4, ETHYL 10-UNDECENOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 539-82-2, ETHYL VALERATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 121-32-4, ETHYL VANILLIN," FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT"
 122397-96-0, ETHYL VANILLIN BETA-D-GLUCOPYRANOSIDE, FLAVORING AGENT OR ADJUVANT
 188417-26-7, ETHYL VANILLIN ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 68527-76-4, ETHYL VANILLIN PROPYLENE GLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 470-82-6, EUCALYPTOL, FLAVORING AGENT OR ADJUVANT
 8000-48-4," EUCALYPTUS, OIL (EUCALYPTUS GLOBULUS LABILLE)", FLAVORING AGENT OR ADJUVANT
 97-53-0, EUGENOL, FLAVORING AGENT OR ADJUVANT
 93-28-7, EUGENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 531-26-0, EUGENYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 10031-96-6, EUGENYL FORMATE, FLAVORING AGENT OR ADJUVANT
 61114-24-7, EUGENYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 25394-57-4," (2E,6Z,8E)-N-(2-METHYLPROPYL)-2,6,8-DECATRIENAMIDE", FLAVORING AGENT OR ADJUVANT
 19317-11-4, FARNESAL, FLAVORING AGENT OR ADJUVANT
 502-61-4, FARNESENE, FLAVORING AGENT OR ADJUVANT
 4602-84-0, FARNESOL, FLAVORING AGENT OR ADJUVANT
 67254-79-9, FATTY ACIDS," FORMULATION AID,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT,<br /> SURFACE-FINISHING AGENT"
 977096-86-8," FATTY ALCOHOLS, SYNTHETIC",
 3844-45-9, FD&C BLUE NO. 1," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 68921-42-6," FD&C BLUE NO. 1, ALUMINUM LAKE", COLOR OR COLORING ADJUNCT
 977011-13-4," FD&C BLUE NO. 1, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 860-22-0, FD&C BLUE NO. 2, COLOR OR COLORING ADJUNCT
 977011-14-5," FD&C BLUE NO. 2, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 4680-78-8, FD&C GREEN NO. 1--DELISTED,
 5141-20-8, FD&C GREEN NO. 2--DELISTED,
 977011-12-3," FD&C GREEN NO. 3, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 3564-09-8, FD&C RED NO. 1--DELISTED,
 915-67-3, FD&C RED NO. 2--DELISTED,
 12227-78-0," FD&C RED NO. 3, ALUMINUM LAKE--DELISTED",
 977011-16-7," FD&C RED NO. 3, CALCIUM LAKE--DELISTED",
 4548-53-2, FD&C RED NO. 4--DELISTED,
 16423-68-0, FD&C RED NO. 3," COLOR OR COLORING ADJUNCT,<br /> SOLVENT OR VEHICLE"
 25956-17-6, FD&C RED NO. 40," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1694-09-3, FD&C VIOLET NO. 1--DELISTED,
 1934-21-0, FD&C YELLOW NO. 5," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 12225-21-7," FD&C YELLOW NO. 5, ALUMINUM LAKE", COLOR OR COLORING ADJUNCT
 977011-18-9," FD&C YELLOW NO. 5, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 2783-94-0, FD&C YELLOW NO. 6," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 15790-07-5," FD&C YELLOW NO. 6, ALUMINUM LAKE"," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
